topic,task,original,modified_original,explanation,max_attempts,case_sensitive,audio,lang
max_2_jun,одержимый,possessed,одержимый,,3,,yes,en
max_2_jun,вспомогающий запоминание,mnemonic,вспомогающий запоминание,,3,,yes,en
max_2_jun,тунец,tuna,тунец,,3,,yes,en
max_2_jun,прорыв,breakthrough,прорыв,,3,,yes,en
max_2_jun,травматический,traumatizing,травматический,,3,,yes,en
max_2_jun,хаотичный,chaotic,хаотичный,,3,,yes,en
max_2_jun,быть во главе,be in charge,быть во главе,,3,,yes,en
max_2_jun,быть главным и все решать,call the shots,быть главным и все решать,,3,,yes,en
max_2_jun,сдаться на полпути,bail halfway through,сдаться на полпути,,3,,yes,en
max_2_jun,ныть,bitch about,ныть,,3,,yes,en
max_2_jun,жалкий,pathetic,жалкий,,3,,yes,en
max_2_jun,стеклянная банка,jar,стеклянная банка,,3,,yes,en
max_2_jun,прибор в форме руки,hand-shaped device,прибор в форме руки,,3,,yes,en
max_2_jun,приостановить чтобы вернуться позже,put a pin in this,приостановить чтобы вернуться позже,,3,,yes,en
max_2_jun,что касаеться тебя,As for you,что касаеться тебя,,3,,yes,en
max_2_jun,выполняет просьбу,fulfills the request,выполняет просьбу,,3,,yes,en
max_2_jun,ни в чем себе не отказывайте,Knock yourselves out,ни в чем себе не отказывайте,,3,,yes,en
max_2_jun,мне нужно выиграть пари,I got a bet to win,мне нужно выиграть пари,,3,,yes,en
max_2_jun,скромный,humble,скромный,,3,,yes,en
max_2_jun,вызывающий стыд,embarrassing,вызывающий стыд,,3,,yes,en
max_2_jun,я сама оплачиваю свою учебу,I put myself through school,я сама оплачиваю свою учебу,,3,,yes,en
max_2_jun,талия,waistline,талия,,3,,yes,en
max_2_jun,отпусти их,set them free,отпусти их,,3,,yes,en
max_2_jun,выполнить свое предназначение,fulfill my purpose,выполнить свое предназначение,,3,,yes,en
max_2_jun,пошло немного не так,get a little hairy,пошло немного не так,,3,,yes,en
max_2_jun,смирись с этим,deal with it,смирись с этим,,3,,yes,en
max_2_jun,как это произошло,how it went down,как это произошло,,3,,yes,en
max_2_jun,отпустить необходимость,letting go of the need,отпустить необходимость,,3,,yes,en
max_2_jun,мы уже это проходили,we've been over this,мы уже это проходили,,3,,yes,en
max_2_jun,позвоночник,spine,позвоночник,,3,,yes,en
max_2_jun,изнасилование,rape,изнасилование,,3,,yes,en
max_2_jun,элементарное дело,open-and-shut case,элементарное дело,,3,,yes,en
max_2_jun,капризный,whimsical,капризный,,3,,yes,en
max_2_jun,заманчивое предложение,tempting offer,заманчивое предложение,,3,,yes,en
max_2_jun,провал,failure,провал,,3,,yes,en
max_2_jun,добиться чего-то,accomplish,добиться чего-то,,3,,yes,en
max_2_jun,давайте заканчивать,let's call it a day,давайте заканчивать,,3,,yes,en
max_2_jun,служить,serve,служить,,3,,yes,en
max_2_jun,посредственный,mediocre,посредственный,,3,,yes,en
max_2_jun,закругляться,wrap up,закругляться,,3,,yes,en
max_2_jun,любимый,beloved,любимый,,3,,yes,en
max_2_jun,отправляться в путешествие,taking that trip,отправляться в путешествие,,3,,yes,en
